AccidentType,Date,Time,Reason
RER-B-Travaux,2019/11/24,12:00:23,there is no reason
RER-B-Travaux,2019/11/18,22:00:08,there is no reason
RER-B-Travaux,2019/11/18,7:00:31,Track construction
RER-B-Travaux,2019/11/17,12:02:44,Track construction
RER-B-Travaux,2019/11/17,12:00:13,there is no reason
RER-B-Travaux,2019/11/15,22:00:24,there is no reason
RER-B-Travaux,2019/11/15,22:00:15,Track construction
RER-B-Travaux,2019/11/14,12:02:50,there is no reason
RER-B-Travaux,2019/11/14,12:01:26,Track construction
RER-B-Travaux,2019/11/11,22:02:27,Track construction
RER-B-Travaux,2019/11/11,22:00:20,there is no reason
RER-B-Travaux,2019/11/10,12:04:37,Track construction
RER-B-Travaux,2019/11/10,12:00:21,there is no reason
RER-B-Travaux,2019/11/4,22:00:16,there is no reason
RER-B-Travaux,2019/11/3,12:00:28,there is no reason
RER-B-Travaux,2019/11/1,7:01:09,Track construction
RER-B-Travaux,2019/11/1,7:00:09,there is no reason
RER-B-Travaux,2019/10/31,12:01:52,Track construction
RER-B-Travaux,2019/10/31,12:00:36,there is no reason
RER-B-Travaux,2019/10/28,22:00:44,there is no reason
RER-B-Travaux,2019/10/27,12:01:27,there is no reason
RER-B-Travaux,2019/9/21,7:01:07,Track construction
RER-B-Travaux,2019/9/21,7:00:09,Track construction
RER-B-Travaux,2019/9/20,12:03:18,Track construction
RER-B-Travaux,2019/9/20,12:01:53,Track construction
RER-B-Trafic quasi normal,2019/2/4,11:10:39,Technique reason
Station fermée complètement,2019/11/24,20:34:31,Passenger reason
Station fermée complètement,2019/11/16,20:02:32,Security reason
Station fermée complètement,2019/9/21,15:39:36,Security reason
Station fermée complètement,2019/9/21,12:03:36,Security reason
Station fermée complètement,2019/9/21,12:03:33,Security reason
Station fermée complètement,2019/9/21,10:06:56,Security reason
Station fermée complètement,2019/8/14,7:00:12,there is no reason
Station fermée complètement,2019/8/13,13:33:45,there is no reason
Station fermée complètement,2019/7/29,7:00:39,Track construction
Station fermée complètement,2019/7/28,12:00:55,Track construction
Station fermée complètement,2019/5/10,10:35:38,Passenger reason
Station fermée complètement,2019/5/1,12:09:34,Security reason
Station fermée complètement,2019/5/1,12:03:31,Security reason
Station fermée complètement,2019/4/28,20:02:34,Security reason
Station fermée complètement,2019/4/28,19:58:31,Security reason
Station fermée complètement,2019/4/27,7:00:24,there is no reason
Station fermée complètement,2019/4/26,12:01:31,there is no reason
Station fermée complètement,2019/4/18,5:37:20,Security reason
Station fermée complètement,2019/4/15,19:30:39,Security reason
Station fermée complètement,2019/2/28,20:43:34,Security reason
Station fermée complètement,2018/12/15,6:43:59,Security reason
Arrêt non marqué,2019/11/21,14:26:39,Passenger reason
Arrêt non marqué,2019/11/21,13:34:32,Passenger reason
Arrêt non marqué,2019/10/22,14:41:34,Passenger reason
Arrêt non marqué,2019/10/14,12:01:03,Passenger reason
Arrêt non marqué,2019/10/14,11:33:33,Passenger reason
Arrêt non marqué,2019/10/11,17:19:48,Passenger reason
Arrêt non marqué,2019/10/11,17:01:47,Passenger reason
Arrêt non marqué,2019/10/11,16:35:36,Passenger reason
Arrêt non marqué,2019/9/7,7:00:38,Track construction
Arrêt non marqué,2019/9/6,12:02:08,Track construction
Arrêt non marqué,2019/7/31,14:44:32,Passenger reason
Arrêt non marqué,2019/7/24,20:11:31,Security reason
Arrêt non marqué,2019/7/15,19:38:31,Passenger reason
